lower_super_output_area,names,population_density,population_density_log,household_composition_couple_household_without_dependent_children,household_composition_other_multi_person_household,tenure_owned_outright,tenure_owned_with_a_mortgage_or_loan,dwelling_type_whole_house_or_bungalow_detached,dwelling_type_flat_maisonette_or_apartment,economic_activity_employment_rate,qualifications_highest_level_of_qualification_apprenticeship,qualifications_highest_level_of_qualification_other_qualifications,health_fair_health,health_bad_or_very_bad_health,road_casualties_2011_total
E01001788,Hackney 013C,11.5,2.442347 ,9.3,14.8,2.5,9.3,3.8,76.5,44,1.1,9.2,14.8,9.2,0
E01001790,Hackney 013D,5.5,1.704748 ,11.8,16.7,3.7,7.3,3.2,85.4,47.8,1.3,11.9,12.1,7.8,0
E01001740,Hackney 014A,8.7,2.163323 ,13.3,20.7,5.1,9.5,1.9,85.2,52.3,1,9.2,12.2,8.7,0
E01001747,Hackney 014B,14.2,2.653242 ,20.6,26,8.3,21,1.5,75.4,66.1,0.9,11.1,10.9,6.4,9
E01001830,Hackney 014C,10.3,2.332144 ,17.4,16.4,5.4,10.1,1.5,84.1,61.4,1.3,11.8,14.1,8.2,17
E01001833,Hackney 014D,11.6,2.451005 ,16.2,20.8,9.9,20.5,2.6,74.4,63.1,0.5,7.6,10.7,6.6,6
E01001834,Hackney 014E,9.5,2.251292 ,18.2,25.8,10.2,16.6,1.5,78.2,70.5,0.5,7.8,9.7,5.7,6
E01001835,Hackney 014F,7.3,1.987874 ,24.2,26.3,19,35.2,2.4,44.5,70.7,0.6,6.7,11,4.3,2
E01001733,Hackney 015A,14.5,2.674149 ,16.4,23.8,15.7,26,3.4,51.3,65.4,1.4,11.5,10.8,6,6
E01001785,Hackney 015B,9.1,2.208274 ,18.5,22.5,17.8,23.7,4.8,36.5,57.4,1.1,11.3,11,7.8,3
E01001789,Hackney 015C,9.7,2.272126 ,15.5,20.6,15.9,24.5,3.5,39.2,61.9,0.8,7.7,11.1,6.2,0
E01001791,Hackney 015D,10.4,2.341806 ,14.2,23.8,12.4,23.4,5.5,42.2,50.5,1.3,7.1,12.5,6.9,4
E01001745,Hackney 016A,11.2,2.415914 ,13.2,21.2,3.7,11.4,2,83.4,59.3,1.1,9.8,10.8,6.5,4
E01001746,Hackney 016B,4.9,1.589235 ,8.7,16.5,1.6,4.7,0.6,92.6,51.4,1,12.7,12.9,4.4,0
E01001757,Hackney 016C,5,1.609438 ,11.3,19.9,4.4,8.9,0.5,96.5,52.6,1.5,13.1,10.8,5.4,4
E01001758,Hackney 016D,12.5,2.525729 ,12.7,19.1,4.5,11.4,1.5,91.7,57.4,1,9,11.6,7.2,13
E01001759,Hackney 016E,10.3,2.332144 ,16,24.8,7.1,17.2,2.6,68.5,61.8,0.9,8.1,12,6.8,3
E01001761,Hackney 016F,10.7,2.370244 ,15.5,15.7,3.3,11.7,2,81.3,59.3,0.5,8.2,14.6,9.1,8
E01001731,Hackney 017A,17.3,2.850707 ,12.9,19.3,4.9,11.1,1.6,85.5,61.8,0.5,9.5,10.3,5,11
E01001734,Hackney 017B,13.4,2.595255 ,16.6,20.6,7.9,14,2,83.4,63.8,0.8,10.6,11.5,6,14
E01001760,Hackney 017C,14.4,2.667228 ,18.3,23.9,5.9,11.6,2,77.3,64.4,0.9,10.5,12.6,6.5,22
E01001762,Hackney 017D,14.2,2.653242 ,16,27.4,8,18.4,0.9,86.7,68.2,1.4,5.9,11.6,5.6,6
E01001846,Hackney 018A,54.3,3.994524 ,14.6,13.3,5.6,12.3,3.7,53.7,52.5,1.9,9.1,16.2,8.8,8
E01001847,Hackney 018B,10.6,2.360854 ,15.8,16.3,9.9,18.8,3.8,72.1,54.7,1.6,10.7,14.6,8.9,11
E01001848,Hackney 018C,15.2,2.721295 ,15,18.8,9,16,3,59.3,54.8,1.8,9.1,14,6.7,11
E01001849,Hackney 018D,49.6,3.903991 ,15.4,21.8,4.7,16.4,2.3,73.4,60.6,1,10.7,11.5,4.5,5
E01001729,Hackney 019A,12.8,2.549445 ,9.2,15.3,1.9,9.7,0.8,96.2,51.4,1,9.5,11.8,6.9,9
E01001730,Hackney 019B,13.1,2.572612 ,12,15.2,3,7,0.4,95,49,1.1,10.8,14.1,7.7,7
E01001732,Hackney 019C,6.5,1.871802 ,12.5,14.7,2.7,8,0.7,94,49.5,1.5,11.4,12.9,7.3,1
E01001735,Hackney 019D,13.3,2.587764 ,18.9,18.8,11.8,24.1,2.3,56.4,60.3,0.8,8.4,11.8,6.8,5
E01001838,Hackney 019E,6.9,1.931521 ,8.7,16.2,3.5,6.5,0.8,95.3,41.3,0.6,10,14.9,8,2
E01001850,Hackney 019F,7.1,1.960095 ,10.9,14.8,4.1,6.7,0.7,97.4,47.5,1.4,10.5,12.4,7.5,4
E01001748,Hackney 020A,17.7,2.873565 ,18.6,21.9,8.5,12.9,1.2,81.9,68.5,0.7,7.7,9.3,5.6,24
E01001749,Hackney 020B,10.7,2.370244 ,21.7,21.1,14.4,24.8,1.8,68.7,72.4,0.6,5.4,8.3,4.5,3
E01001763,Hackney 020C,10.9,2.388763 ,18.5,17.9,8.6,17,1.5,78.7,61.5,1.3,7.7,10.9,7.2,4
E01001816,Hackney 020D,13.6,2.610070 ,19.5,19.1,15.6,24.8,1.1,58.2,61.6,1.1,6.4,11.9,4.8,0
E01001819,Hackney 020E,13.6,2.610070 ,21.8,17.5,13.5,20.9,3,57.6,65.5,1.1,6,11.9,7.7,3
E01001744,Hackney 021B,13.5,2.602690 ,19.1,21.9,9.8,20.9,4.5,65.7,62.7,1.2,7.4,13.7,6.4,10
E01001750,Hackney 021C,14.6,2.681022 ,20.1,23.8,8.6,16.9,2,79.7,64,1.3,7.7,9.6,6.3,10
E01001751,Hackney 021D,15.4,2.734368 ,31.7,21.4,22.3,30.6,1.2,44.2,79.1,1,3.4,7,2.5,1
E01001756,Hackney 021E,16.2,2.785011 ,22.3,27.6,13.1,19,1.2,66.8,72.7,0.7,6.1,8.1,4.4,25
E01033698,Hackney 021F,6,1.791759 ,11.4,16,2.4,5.1,3.5,81.1,52.9,1.6,9.1,15.6,11.8,1
E01033699,Hackney 021G,9.4,2.240710 ,20,26,6.8,14.4,1,84,71,0.5,11,8.6,4.2,18
E01033700,Hackney 021H,11,2.397895 ,21.2,28.4,6.3,13.5,1.1,85.4,70.7,0.7,8.1,8.6,4.9,15
E01033707,Hackney 021I,10.4,2.341806 ,18.2,23.5,3.4,5.5,1.9,78,63.9,1,9.7,11.7,6.3,3
E01001836,Hackney 022A,13.2,2.580217 ,18.8,12.4,6.1,16.1,2.3,72.8,66.7,1.8,6.4,11.3,5.7,4
E01001840,Hackney 022B,10.9,2.388763 ,12.3,15.9,4.8,14.4,3.5,76.8,52.9,0.9,8.4,14.4,8.8,1
E01001841,Hackney 022C,13.7,2.617396 ,18.4,12.3,13.4,20,2.2,62.8,60.8,0.8,6.8,15,8.3,0
E01001844,Hackney 022D,15.6,2.747271 ,19,17.4,11.5,18.2,4.3,59.7,58.3,0.8,6.5,8.1,4,17
E01001845,Hackney 022E,11.1,2.406945 ,11.9,13.2,2.9,4.9,2.2,69.4,50.5,1.2,6.5,15.8,10.9,1
E01001837,Hackney 023B,11.1,2.406945 ,29.2,15,13.4,29.5,1.6,70.9,75.3,1.5,5.4,9.7,3.8,2
E01001839,Hackney 023C,10.8,2.379546 ,16.6,28.7,4.6,14.8,0.6,91.7,66,0.8,9.5,8.3,3.7,11
E01001842,Hackney 023D,6.5,1.871802 ,13.5,19.3,4.6,14.1,1.4,81.8,56.1,0.7,7.3,12.3,6.7,0
E01001843,Hackney 023E,7.4,2.001480 ,16.3,15.5,10.6,21.5,4.8,40.3,58.3,0.2,5.3,11.1,7.2,0
E01033704,Hackney 023F,21.9,3.086487 ,22.5,25.4,3.5,17,0.3,90.2,80,0.7,6.6,6.5,2.2,17
E01033712,Hackney 023G,16.2,2.785011 ,18.2,23.3,6.4,12.6,1.2,82.3,66,0.8,8.2,9.6,4.4,8
E01001772,Hackney 024A,6.6,1.887070 ,14.2,12.6,3.5,8.3,1.3,90.7,47.8,1.1,10.7,14.1,10.4,2
E01001774,Hackney 024B,18,2.890372 ,18.6,24.9,4.7,17.1,0.7,94,64.7,1,9.8,9.5,4.3,5
E01001775,Hackney 024C,12.7,2.541602 ,13.2,19,3.7,12.5,0.8,94.2,53.4,1,10.8,12.3,8,2
E01001815,Hackney 024D,10.9,2.388763 ,12.6,17.8,6.2,15,3.8,68.8,52.1,1.2,10.4,13.9,8.9,3
E01001820,Hackney 024E,8.5,2.140066 ,14,18.2,8.2,13.5,3.6,65,53.1,0.5,9.4,14.4,9.2,1
E01001821,Hackney 024F,6.9,1.931521 ,12.9,19.9,5,10.2,1.5,86.3,53.3,0.9,8.7,15.3,9.2,0
E01001752,Hackney 025A,12.8,2.549445 ,17.7,27.5,5.8,16.4,0.4,93.6,72.3,0.8,7.8,8,4.2,2
E01001753,Hackney 025B,7.5,2.014903 ,13,15.9,4.4,4.7,0.9,94.1,49.5,1.4,10.3,11.7,7.7,2
E01001754,Hackney 025C,12.2,2.501436 ,17.3,18.2,4.6,11.6,0.3,94.9,63.8,0.9,9.3,10.3,5.8,8
E01001755,Hackney 025D,10.2,2.322388 ,10.9,21.1,3.9,8,1.5,90.8,53.8,1.3,8.5,11.9,8.1,12
E01001773,Hackney 025E,12.2,2.501436 ,18.1,22.4,3.8,7.2,1.7,86,57.1,0.7,9.4,12.1,7.5,1
E01001776,Hackney 025F,10.2,2.322388 ,13.2,21,6.8,8.2,1.9,88.4,51.3,0.6,11.7,13.7,11,3
E01001779,Hackney 026A,13.9,2.631889 ,17.3,16.9,5.4,10.2,0.7,94.9,60,1.2,9.6,10.7,7,1
E01001781,Hackney 026B,15.1,2.714695 ,10.4,20.2,3.4,5.7,0.5,98,48.1,1.2,9.6,13.9,8.7,3
E01001782,Hackney 026C,13.7,2.617396 ,23.7,18,11,19.9,1.1,88.3,67.7,1.3,7.6,8.8,5.1,2
E01001783,Hackney 026D,6.1,1.808289 ,10.4,19.5,3.6,7.2,0.1,98.9,48,1.4,10.9,12.4,7.7,0
E01001777,Hackney 027B,15.4,2.734368 ,15.5,24.4,4,9.5,0.7,96.9,62.4,0.6,12,10.9,5.6,12
E01001780,Hackney 027D,11,2.397895 ,12.9,19.1,4.8,10.3,0.3,96.4,57.6,0.9,9.8,15,6.6,20
E01001784,Hackney 027E,7.6,2.028148 ,15.7,24.3,4.5,12.9,0.5,97.8,45.1,1.2,11.4,10.6,4.9,5
E01033706,Hackney 027F,13.5,2.602690 ,18.7,31.4,5.5,12.2,0.4,96.8,75.7,0.6,11.2,5.7,2.3,32
E01033708,Hackney 027G,35.7,3.575151 ,22.4,23.8,7.4,12.6,0.4,96.3,76.5,0.5,9.7,3.6,1.4,54
E01033709,Hackney 027H,8.8,2.174752 ,14.2,22.1,2.8,6.2,0.2,98.6,68.1,0.5,11.2,8.7,4.1,4
E01033711,Hackney 027I,7.7,2.041220 ,15.8,30.1,6.4,17.4,0.6,96.3,62.7,0.4,10.2,5.9,3.3,5
E01001798,Hackney 028A,10.5,2.351375 ,11.4,19.5,7.9,13.3,3.1,71.6,49.9,1,14.7,13.4,7.7,3
E01001828,Hackney 028B,11.1,2.406945 ,12.5,13.4,7.1,11.7,0.5,89.6,49.5,1.5,12.6,12.1,7.2,0
E01033702,Hackney 028C,10,2.302585 ,19.8,14.2,4.6,15,0.4,88.8,59.4,0.9,11,8.9,6,2
E01033705,Hackney 028D,16,2.772589 ,13.7,17,4,12.2,2.9,81,55.3,1,11.4,10.3,5.8,4
E01033710,Hackney 028E,4.2,1.435085 ,14.1,16.4,3.4,12.6,1.7,95.4,64.8,0.6,10.8,8.9,4.1,0
E01001722,Hackney 029A,10.6,2.360854 ,13.6,15.7,5.8,11.4,1.3,85,58.6,1.2,9,12.2,7.1,4
E01001728,Hackney 029B,9.1,2.208274 ,15,10.2,9.9,8.5,0.9,87.2,50.1,0.4,9.9,8.3,3.7,7
E01001822,Hackney 029C,8.4,2.128232 ,11.5,13.2,5,10.8,1.5,86.7,46.7,0.7,14.8,12.8,8.4,1
E01001827,Hackney 029D,17.2,2.844909 ,11.5,9.2,7.8,8.9,3.1,79.7,46.1,1,10.6,12.2,7.9,2
E01001874,Hammersmith and Fulham 001A,97.4,4.578826 ,14,16.7,7.5,10.5,2.5,74.5,65.4,0.7,13.1,11.4,5.4,34
E01001875,Hammersmith and Fulham 001B,16.9,2.827314 ,17.6,16.4,12.3,14.6,6.6,15.1,50.6,1.6,11.4,14.7,7.4,9
E01001876,Hammersmith and Fulham 001C,89.5,4.494239 ,14.5,9,5,6.6,3.2,67.5,49.4,1.3,12.2,11.8,5.8,3
E01001877,Hammersmith and Fulham 001D,126.3,4.838660 ,17.9,13.4,14.3,10.6,5,62.4,65.2,1.6,15,12.6,6.4,9
E01001878,Hammersmith and Fulham 001E,14,2.639057 ,16.2,18.3,11.9,12.2,7.5,7,53.2,1.4,11.9,12.6,6.5,3
E01001955,Hammersmith and Fulham 002A,21.9,3.086487 ,12.8,20,8,12.5,4.1,53,50.5,1.9,11.7,13.3,7.4,8
E01001957,Hammersmith and Fulham 002B,7.3,1.987874 ,10.7,19,5.6,7.8,0.5,93.1,49.1,1.4,15.8,12.8,7.7,2
E01001958,Hammersmith and Fulham 002C,4.5,1.504077 ,10.6,16.4,2.4,6.5,0.3,97.6,51.8,0.9,17.5,13.3,6.4,1
E01001961,Hammersmith and Fulham 002D,7.1,1.960095 ,12,19.1,4.6,8.1,0.7,96.9,47.9,1.1,13.3,13.3,6.5,2
E01001954,Hammersmith and Fulham 003A,8.8,2.174752 ,16,18.2,15.9,21,2.2,55.6,61.8,1.1,10,11.5,6.2,5
E01001956,Hammersmith and Fulham 003B,13.4,2.595255 ,20.2,20.1,20.2,21.6,1.8,57.4,58.5,1.2,11.8,10.3,6,1
E01001959,Hammersmith and Fulham 003C,19.4,2.965273 ,17.9,19.2,17.7,16.2,5.2,27.5,50.2,1.9,11.8,13.9,9.2,4
E01001960,Hammersmith and Fulham 003D,8.1,2.091864 ,18.1,30.4,16.3,20.1,0.4,73,72.4,1.5,10.4,7.4,3.3,8
E01001943,Hammersmith and Fulham 004A,44.5,3.795489 ,17.6,21,10.6,11.8,1.7,76.1,65.7,1.2,13,11,5.2,53
E01001944,Hammersmith and Fulham 004B,6.5,1.871802 ,10.5,11.7,4.7,6.3,0.9,94.8,50.7,2.3,12.5,15,8.9,2
E01001945,Hammersmith and Fulham 004C,11.5,2.442347 ,19.4,20.6,17.6,19.4,2.1,64.4,71.3,1.4,11.9,9.2,6,4
E01001946,Hammersmith and Fulham 004D,12.4,2.517696 ,17.1,22.9,13.5,14.8,1.1,80.3,69.6,1.5,11.5,8.5,5.1,1
E01001862,Hammersmith and Fulham 005A,9.1,2.208274 ,17.5,16.7,8.9,17.1,1.6,88.6,64.7,1.3,11.6,12.7,6.3,0
E01001940,Hammersmith and Fulham 005B,8.1,2.091864 ,18.8,18.2,8.4,11.6,1.2,88.4,62.2,1.5,11.7,11.4,6.6,0
E01001941,Hammersmith and Fulham 005C,14.5,2.674149 ,19.4,31.2,10.9,13.1,1.5,81.7,73.6,1.4,11.4,6.7,3.6,28
E01001942,Hammersmith and Fulham 005D,9.3,2.230014 ,17.7,21,12.3,14.9,1.8,78.5,70.3,1.4,12.3,9.6,5.4,12
E01001858,Hammersmith and Fulham 006A,12.5,2.525729 ,17.2,19,10.9,17.5,2.2,79.8,59.3,1.2,12.3,11.5,5.6,6
E01001860,Hammersmith and Fulham 006B,8.6,2.151762 ,14,20.1,6.8,12.7,1.1,86,59.5,1.3,11.9,9.8,6.8,22
E01001861,Hammersmith and Fulham 006C,7.5,2.014903 ,19.7,15.7,11.2,19,0.9,77.6,64.6,1.5,12.3,11.5,5.6,13
E01001863,Hammersmith and Fulham 006D,8.3,2.116256 ,21.8,17.3,17.4,28.2,1.5,65.9,71.7,1.9,10.3,6.9,4.1,0
E01001864,Hammersmith and Fulham 006E,7.4,2.001480 ,19.2,17,14.2,15.6,2.2,69.6,68.4,1.7,10.6,10.8,6.5,1
E01001852,Hammersmith and Fulham 007A,7.5,2.014903 ,25.8,17.7,14.5,24.7,0.8,91.5,75.7,0.9,10.7,7.6,2.8,3
E01001853,Hammersmith and Fulham 007B,8.2,2.104134 ,24.5,18.3,18.1,24.6,1.7,73.4,76.7,0.8,9.9,6.3,3.3,0
E01001854,Hammersmith and Fulham 007C,6.6,1.887070 ,20.6,17.9,13.8,22.8,0.6,89.5,72.3,1.5,11.7,8,4.5,3
E01001857,Hammersmith and Fulham 007D,7.1,1.960095 ,15.8,16.4,8.3,9.7,0.3,96.8,57.6,1.1,12.1,13.7,8.3,16
E01001859,Hammersmith and Fulham 008A,10.7,2.370244 ,21.2,13.9,10.2,20.6,1,92.8,68.4,0.9,10.8,7.3,4.2,1
E01001865,Hammersmith and Fulham 008B,11.7,2.459589 ,20,19,21.5,27.3,1.8,50.1,72.2,2.2,11.8,8.4,4.3,2
E01001927,Hammersmith and Fulham 008C,20,2.995732 ,26.4,14,38.2,29.4,6.9,35.2,64.3,0.9,8,7.2,2.6,2
E01001930,Hammersmith and Fulham 008D,25.4,3.234749 ,19.2,11.9,16.2,17.9,5,75.8,61,0.6,10.4,15.2,8.7,10
E01001895,Hammersmith and Fulham 009A,8.7,2.163323 ,21.7,19.9,16.2,21.7,1.7,65.4,68,0.6,8.1,9.2,3.8,5
E01001896,Hammersmith and Fulham 009B,8.4,2.128232 ,19.6,20.3,13,17.8,0.6,84.1,60.3,1,8.6,8.1,4.5,1
E01001897,Hammersmith and Fulham 009C,9.6,2.261763 ,22.5,13.9,24.1,21.6,1.9,60.3,73.1,1.1,8.9,8.7,3.8,0
E01001929,Hammersmith and Fulham 009D,8.5,2.140066 ,22.1,12.7,32.3,27,1.1,30.3,74.2,1.1,6.2,8.1,2.9,3
E01001851,Hammersmith and Fulham 010A,9.9,2.292535 ,26,13.9,24.7,24.7,1.6,59.5,75.6,1.4,8.7,6.7,2.5,2
E01001855,Hammersmith and Fulham 010B,7.7,2.041220 ,25.5,14.8,16.6,23.9,0.1,85.3,75.1,1,10.6,6.7,3.5,0
E01001856,Hammersmith and Fulham 010C,8.3,2.116256 ,17.4,16.8,12.1,10.8,0.8,81.7,63.5,1.3,9.5,10.6,5.1,11
E01001869,Hammersmith and Fulham 010D,23.2,3.144152 ,26.3,12.5,27.2,16.9,0.8,62.7,71.1,0.7,9.3,7.8,3.1,5
E01001873,Hammersmith and Fulham 010E,6.2,1.824549 ,18.1,19.6,15.7,14.9,0.6,82.6,67.4,0.9,12.1,11,5.2,0
E01001928,Hammersmith and Fulham 011A,18.7,2.928524 ,19.3,13.7,20.1,19.8,1.8,63.6,66.7,1.2,8.9,9.2,6.4,11
E01001931,Hammersmith and Fulham 011B,6.8,1.916923 ,20,13.3,13.3,18.8,0.8,84.5,66,0.7,10.7,8,4.4,1
E01001932,Hammersmith and Fulham 011C,17.9,2.884801 ,22.7,19.8,12.9,13.6,1.7,75.5,67.3,1.2,12,8.5,4,14
E01001933,Hammersmith and Fulham 011D,18.2,2.901422 ,24.7,11.7,32,18.9,2.8,49.2,64.9,1.4,7,11.3,3.8,6
E01001866,Hammersmith and Fulham 012A,15,2.708050 ,21.2,20.9,21,19.9,0.8,92.6,64,0.5,11.9,8.1,3.9,12
E01001867,Hammersmith and Fulham 012B,8.8,2.174752 ,18.6,23.7,19.4,20.3,0.3,92.2,54.2,0.6,11.2,12.3,5.5,0
E01001868,Hammersmith and Fulham 012C,6,1.791759 ,15.1,14.9,3.8,7.1,0.3,96.4,57,1.5,13.8,13,7.5,0
E01001870,Hammersmith and Fulham 012D,10.1,2.312535 ,18.6,22.9,13.3,19.2,0.2,93.9,67.8,0.9,11.8,6.6,3.8,6
E01001871,Hammersmith and Fulham 012E,13.1,2.572612 ,20.4,23.3,23.9,16.1,0.5,95.2,62.7,0.5,12.1,9,3.7,17
E01001872,Hammersmith and Fulham 012F,7.1,1.960095 ,22.9,20.3,14.6,20,0.1,89.6,64.7,0.8,11.3,7.6,3.6,4
E01001893,Hammersmith and Fulham 013A,7.8,2.054124 ,17.7,19.6,7.5,11.7,0.8,92.4,56.6,1.8,11.2,11.5,5.9,4
E01001894,Hammersmith and Fulham 013B,15.6,2.747271 ,15.3,17.8,14.8,10.5,0.5,83.7,60.1,1.2,10.7,12,8.4,13
E01001898,Hammersmith and Fulham 013C,28.6,3.353407 ,22.4,20,14.7,16.2,1.4,77.9,70,1.3,11.4,7.8,3.9,47
E01001899,Hammersmith and Fulham 013D,12.5,2.525729 ,16.5,13.5,6.2,7.4,1,82.4,52.9,1.1,10.7,15.6,11.2,5
E01001900,Hammersmith and Fulham 013E,13.6,2.610070 ,16.6,21.6,9.4,9.8,1.2,70.6,61.5,1.8,12.1,13.1,8.2,14
E01001889,Hammersmith and Fulham 014A,14.4,2.667228 ,19.9,26.8,18.7,27.5,1.6,49.5,68.8,1,9.3,8.8,4.5,8
E01001910,Hammersmith and Fulham 014B,8,2.079442 ,23.1,16.8,11.7,18.3,1,91.8,73.6,1.1,11.1,8.2,3.4,9
E01001913,Hammersmith and Fulham 014C,10.9,2.388763 ,20.7,30.1,19.6,24.2,0.1,97.9,82.1,0.5,7.6,4.2,1.3,1
E01001914,Hammersmith and Fulham 014D,6.7,1.902108 ,21.5,23,8.9,16.3,0.2,95.5,70.5,0.8,12.6,7.8,2.9,6
E01001885,Hammersmith and Fulham 015A,5.5,1.704748 ,12.1,11.3,3.9,5.6,0.5,94.1,47.4,0.8,10.6,15.6,10.4,0
E01001908,Hammersmith and Fulham 015B,4.3,1.458615 ,22.7,20.3,10.6,18.4,1.4,94.6,70.4,1.1,14.5,6.5,3.2,3
E01001909,Hammersmith and Fulham 015C,8.8,2.174752 ,22,21.1,12.1,18.8,1.4,74,66.6,1.1,10.8,11.6,5.8,10
E01001911,Hammersmith and Fulham 015D,15.6,2.747271 ,12.8,18.2,5.6,12.1,0.8,90.3,55.5,1.5,11.3,14.2,7.2,2
E01001912,Hammersmith and Fulham 015E,9.5,2.251292 ,12.8,21.8,6.2,9.3,2.6,74.6,48.4,1.2,12.1,11.1,7.1,5
E01001886,Hammersmith and Fulham 016A,9.8,2.282382 ,17.2,22,13.4,19.4,3.5,59.7,56.4,1.2,9.9,9.2,4.9,6
E01001887,Hammersmith and Fulham 016B,10.9,2.388763 ,16,23.9,11.9,16.1,2.6,70.7,60.7,1.4,8.7,12,7.4,1
E01001890,Hammersmith and Fulham 016C,13.1,2.572612 ,10.7,18.6,8.7,11.3,0.4,80.7,67.2,1.6,9.6,7.2,3,2
E01001892,Hammersmith and Fulham 016D,7.1,1.960095 ,16.7,18.5,10.6,17,1.1,78.1,61.9,1.1,8.2,10.4,6.6,0
E01001880,Hammersmith and Fulham 017A,12.7,2.541602 ,21.9,16.1,12.8,11.2,0.3,91.1,70.5,1.9,9.6,10.7,5.6,0
E01001881,Hammersmith and Fulham 017B,11.3,2.424803 ,25.4,23.8,22.3,19.1,2.1,56.8,73.3,0.8,10.1,7.7,3.8,13
E01001882,Hammersmith and Fulham 017C,7.9,2.066863 ,22.8,30.2,18.1,25.1,1.6,60,74,1.2,10.2,6,2.1,1
E01001883,Hammersmith and Fulham 017D,13.2,2.580217 ,19.8,21.5,9.9,15.3,0.9,82.4,62.7,1.2,10.2,10.4,5.8,8
E01001884,Hammersmith and Fulham 017E,8.1,2.091864 ,16.5,19,8.8,11.2,0.7,85.6,64.4,2.1,11,10.6,6.7,1
E01001888,Hammersmith and Fulham 018A,9.8,2.282382 ,23.1,25.2,26.9,29.5,1.1,40.3,64.2,1.2,7.9,9.5,4.2,3
E01001891,Hammersmith and Fulham 018B,17.4,2.856470 ,20.5,31.1,17.8,19.6,0.7,70.2,69.1,0.9,10.2,6.3,2.4,17
E01001917,Hammersmith and Fulham 018C,10.9,2.388763 ,21.5,17.8,19.3,23.8,0.6,69.8,65.8,1.4,8.5,12,5.1,1
E01001918,Hammersmith and Fulham 018D,10.5,2.351375 ,19.3,22.5,24.8,33.1,0.6,68.4,68.9,1.4,7.8,6.7,3.9,4
E01001919,Hammersmith and Fulham 018E,14.3,2.660260 ,21.9,14.4,33,30.2,1.2,53.7,65.9,1.3,7.7,7.4,3.9,0
E01001879,Hammersmith and Fulham 019A,8,2.079442 ,17.4,23.5,17.7,16.9,2.1,52.1,62.2,1.6,11,8.3,6.4,0
E01001901,Hammersmith and Fulham 019B,8.5,2.140066 ,21.4,17.4,24.9,27.2,1.5,44.4,69.7,0.9,8.6,5.4,2.8,2
E01001902,Hammersmith and Fulham 019C,7.3,1.987874 ,24.2,24.4,14,19.4,0.8,69.1,69.4,1,9.6,9.2,5.1,4
E01001903,Hammersmith and Fulham 019D,11,2.397895 ,18.1,21.1,16.3,15.9,1.3,64.5,61.1,1.1,11.2,9.6,5.5,5
E01001920,Hammersmith and Fulham 020A,16.5,2.803360 ,14.4,15.5,12.6,11.4,0.2,86.5,60.6,1.6,10.1,14.2,9.8,15
E01001921,Hammersmith and Fulham 020B,9.8,2.282382 ,20.7,19.2,21,22.6,1.9,57,66.9,0.7,7.6,8.1,2.9,11
E01001922,Hammersmith and Fulham 020C,19.1,2.949688 ,22.7,17.7,34,21.9,1.8,40.1,69.1,0.5,9,5.7,2.4,4
E01001923,Hammersmith and Fulham 020D,11.3,2.424803 ,21.4,20.5,21,22.1,1.2,51.5,68,0.6,9.2,8.8,3.5,17
E01001924,Hammersmith and Fulham 020E,9.8,2.282382 ,18.2,25,27.6,30.3,0.6,53,72,0.7,9.7,4.6,1.1,9
E01001947,Hammersmith and Fulham 021A,5.5,1.704748 ,12.4,15.4,4.7,9.5,1.3,90,52.9,1.5,13.1,12.1,7.9,0
E01001948,Hammersmith and Fulham 021B,11.5,2.442347 ,22.3,18,19,21.9,0.4,70,75.1,1.2,8.5,6.3,3.3,8
E01001949,Hammersmith and Fulham 021C,8,2.079442 ,22.3,24.5,20.2,25.1,1.6,64.4,74.8,1,9,5.5,1.7,2
E01001950,Hammersmith and Fulham 021D,10.8,2.379546 ,24.4,22,25.5,24.4,1.3,50.1,76.2,1,9.5,4.5,2,2
E01001951,Hammersmith and Fulham 021E,10.3,2.332144 ,19.7,22.4,19.1,20,1.6,71.7,73.6,0.5,9.2,8.3,3.2,4
E01001953,Hammersmith and Fulham 021F,9.2,2.219203 ,17.2,26.6,9.3,14.3,0.9,82.5,69.6,1.4,11,10.6,4.9,18
E01001904,Hammersmith and Fulham 022A,14.1,2.646175 ,24.2,24.7,23.1,29.2,1.4,59.7,74.6,1,7.4,6.9,2.8,1
E01001905,Hammersmith and Fulham 022B,8.6,2.151762 ,21.9,24.1,22.1,25.9,0.8,63.8,74.6,0.6,9.5,7.5,2.8,2
E01001906,Hammersmith and Fulham 022C,6.3,1.840550 ,25,27.4,19.4,27.6,0.9,64.2,78.1,0.8,7.7,6.8,3.1,0
E01001907,Hammersmith and Fulham 022D,6.7,1.902108 ,24.9,15.1,25.2,25.8,0.7,58.4,72.7,1.2,9.3,6.3,3.1,2
E01001935,Hammersmith and Fulham 023A,10.8,2.379546 ,20,24.7,16.6,23.7,1.1,66,70.4,0.9,7.3,10,4.8,2
E01001939,Hammersmith and Fulham 023C,32.5,3.481240 ,20,13.8,16.3,12.2,0.7,84,52.3,0.8,9,10.6,5.2,5
E01032788,Hammersmith and Fulham 023D,11.7,2.459589 ,14.9,22.4,13.5,20.8,1.5,72,68.2,1.2,8.2,8.8,4.8,5
E01032789,Hammersmith and Fulham 023E,3,1.098612 ,16.9,15.5,9.6,17.7,0.2,99.4,71.9,0.5,12.1,4.5,3.3,0
