lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,tenurec_owned_outright,tenurtc_social_rented,good_health,bad_health
E01001718,Hackney 007D,3.4,26.6,3.6,75.3,5.1,12.9,5.3,90.3,2.4
E01001719,Hackney 007E,7.5,16.3,15.3,52,24.4,4.5,58.7,76.6,8
E01001720,Hackney 007F,3.9,23.1,5.9,75.5,8.2,12.9,12.6,90.4,3.5
E01001742,Hackney 008A,6.4,14.8,18,55.6,20.8,7,46.3,81.5,7.6
E01001801,Hackney 008B,8.7,17.2,10.9,72,11.8,9.4,48.1,81.5,7.4
E01001803,Hackney 008C,5.5,21.1,10.7,75.7,6.4,18.1,18.6,88,4.2
E01001806,Hackney 008D,8.5,19.9,16.7,63.8,19.5,9,46.6,80.9,7.4
E01001741,Hackney 009A,3.5,22.5,8.8,72.7,8.9,19.9,18.4,87.8,4.6
E01001805,Hackney 009B,6.9,23.7,7.8,69.2,12.3,11.2,22.4,86.8,4.4
E01001829,Hackney 009C,5.3,20.8,8,77.3,7.9,22.7,11.4,89,3.8
E01001831,Hackney 009D,5.4,22.6,9.1,63,15.4,11,28.1,83.7,5.2
E01001832,Hackney 009E,7.9,19.3,10.1,56.4,14.9,12.9,28,84.7,6
E01001764,Hackney 010A,10.1,17.7,14.2,49.1,24.5,6.3,42.7,83.2,5.2
E01001765,Hackney 010B,18.4,11.2,19.8,31.2,40.2,2.2,80.2,75.5,9.1
E01001767,Hackney 010D,10.4,16.2,16.4,51.8,22.1,11.1,33,83,6.1
E01001770,Hackney 010E,13.9,13.3,16.6,40.4,32.3,5.6,54.3,79.1,8.1
E01033703,Hackney 010F,10.9,14.4,13.3,52.4,23.9,3.5,35.8,78.2,9.6
E01033713,Hackney 010G,11.8,17.6,14.5,52.8,20.4,7.7,29.5,81.2,6.8
E01001792,Hackney 011A,9.8,17.4,16.6,45.5,20.6,22.6,31.8,77.8,8
E01001793,Hackney 011B,10.6,17.8,13.3,51.4,25.2,16.6,27.4,84.2,4.7
E01001794,Hackney 011C,9.1,20.3,10.4,53.9,16.3,22.1,17.8,79.4,10.5
E01001795,Hackney 011D,12.8,17.3,11.4,57.2,18.6,14.5,19.6,85.6,5.1
E01001796,Hackney 011E,10.5,14.9,12.2,49.9,23.3,10,27.8,83.5,6.2
E01001736,Hackney 012A,6.7,21.6,12.6,66.6,16.2,11.7,28,86.6,5.3
E01001737,Hackney 012B,6.3,22,9.7,69.5,11.6,12.3,26.5,88.4,4
E01001738,Hackney 012C,6.3,21,9.6,73,11.1,13.4,30.4,86,5.9
E01001739,Hackney 012D,6.2,21.8,10.6,75.3,12,18.9,24.9,84.8,4.6
E01001786,Hackney 013A,15.2,9.1,23.7,26.8,54,4.7,71.8,81.1,6.5
E01001787,Hackney 013B,17.4,12.9,24.7,38,41.2,6.4,70.9,73.4,10.6
E01001788,Hackney 013C,17.1,9.3,20.9,34.1,43.1,2.5,70.3,76,9.2
E01001790,Hackney 013D,16.9,11.8,24,24.3,52.9,3.7,73.2,80.1,7.8
E01001740,Hackney 014A,13,13.3,23.1,40.9,31.1,5.1,67.1,79.1,8.7
E01001747,Hackney 014B,8,20.6,11.8,60.9,19.1,8.3,24.9,82.7,6.4
E01001830,Hackney 014C,10.5,17.4,13.7,51.1,26.2,5.4,56.2,77.7,8.2
E01001833,Hackney 014D,9.3,16.2,16.3,53.1,24.3,9.9,38.7,82.7,6.6
E01001834,Hackney 014E,7.4,18.2,12.5,59.3,20.2,10.2,30.4,84.6,5.7
E01001835,Hackney 014F,6.1,24.2,7.7,63.7,15.4,19,18.6,84.6,4.3
E01001733,Hackney 015A,9,16.4,11.8,57.2,20.5,15.7,20.7,83.2,6
E01001785,Hackney 015B,11.1,18.5,18.5,51.4,27.6,17.8,33.9,81.2,7.8
